Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
YI,"111, Inc.",9.62,76811419.1,7984555,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",5.84,34951033.44,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.1,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,2.0277,63105191.2674,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",12.95,831109904.45,n/a,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
FCCY,1st Constitution Bancorp (NJ),20.11,169010312.12,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,47.28,1227628840.56,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",10.76,667730135.04,62056704,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",52.34,3031669512.08,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
TPNL,"3PEA International, Inc.",3.85,168132445.25,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl,
JOBS,"51job, Inc.",67.35,2453976116.85,36436171,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
EGHT,8x8 Inc,18.26,1741477765.06,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
AAON,"AAON, Inc.",43.12,2246316435.44,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,7.67,367734207.62,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,3.67,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,2.87,9484422.99,n/a,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,
ABMD,"ABIOMED, Inc.",330.63,14891418812.01,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,1.62,269900496.9,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,8.93,601548821.7,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",43.78,1770604915.86,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,3.22,159838607.18,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,
ACHC,"Acadia Healthcare Company, Inc.",36.01,3178102701.15,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,17.81,2227577860.17,n/a,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,
ACST,"Acasti Pharma, Inc.",0.7953,62135649.3351,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,
AXDX,"Accelerate Diagnostics, Inc.",14.82,803225371.26,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,51.36,2372336067.84,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,
ANCX,Access National Corporation,26.2,544893006.6,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx,
ARAY,Accuray Incorporated,4.76,412501647.6,n/a,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,
ACRX,"AcelRx Pharmaceuticals, Inc.",3.16,195626979.52,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,
ACER,Acer Therapeutics Inc.,24.36,244890787.68,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,
ACET,Aceto Corporation,1.71,52609242.69,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet,
AKAO,"Achaogen, Inc.",1.93,89011293.13,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao,
ACHV,"Achieve Life Sciences, Inc. ",1.84,12366829.52,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,
ACHN,"Achillion Pharmaceuticals, Inc.",2.7,374263659,n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,
ACIW,"ACI Worldwide, Inc.",28.8,3340213776,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,
ACRS,"Aclaris Therapeutics, Inc.",9.64,394624881.24,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,
ACMR,"ACM Research, Inc.",11.46,182004052.8,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,
ACNB,ACNB Corporation,37.79,265995042.72,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,
ACOR,"Acorda Therapeutics, Inc.",19.3,917875942.7,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,
ATVI,"Activision Blizzard, Inc",52.55,40098315230.9,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,
ADMS,"Adamas Pharmaceuticals, Inc.",11.52,314905340.16,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,2.57,121538790.06,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,
ADAP,Adaptimmune Therapeutics plc,6,459266208,76544368,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,
ADUS,Addus HomeCare Corporation,70.02,917146817.1,n/a,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,
AEY,"ADDvantage Technologies Group, Inc.",1.3364,13773132.178,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,
IOTS,Adesto Technologies Corporation,4.78,139903343.96,n/a,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,
ADIL,"Adial Pharmaceuticals, Inc",1.27,8303544.48,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil,
ADILW,"Adial Pharmaceuticals, Inc",0.5,0,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw,
ADMA,ADMA Biologics Inc,5.11,236846016.54,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,
ADBE,Adobe Inc.,238.74,116536998235.98,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,
ADOM,"ADOMANI, Inc.",0.511,37166201.212,n/a,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom,
ADTN,"ADTRAN, Inc.",13.7,652808356.5,n/a,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn,
ADRO,"Aduro Biotech, Inc.",3.2,254093068.8,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro,
ADES,"Advanced Emissions Solutions, Inc.",9.76,194376558.56,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,
AEIS,"Advanced Energy Industries, Inc.",41.99,1616155419.45,n/a,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,
AMD,"Advanced Micro Devices, Inc.",19.61,19598375505.76,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd,
ADXS,"Advaxis, Inc.",0.5021,34893514.3129,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs,
ADVM,"Adverum Biotechnologies, Inc.",3.63,227579488.62,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm,
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,21.319,2664875,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc,
DWSH,AdvisorShares Dorsey Wright Short ETF,27.709,18010850,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh,
ACT,AdvisorShares Vice ETF,25.04,13772000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act,
AEGN,Aegion Corp,18.94,612026970.6,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn,
AGLE,"Aeglea BioTherapeutics, Inc.",7.9,173760752.8,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle,
AEHR,Aehr Test Systems,1.87,41598327.65,n/a,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr,
AMTX,"Aemetis, Inc",0.911,18534693.107,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx,
AERI,"Aerie Pharmaceuticals, Inc.",43.32,1969050601.8,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri,
AVAV,"AeroVironment, Inc.",95.7,2290160621.1,n/a,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav,
ARPO,"Aerpio Pharmaceuticals, Inc.",2,81159714,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo,
AEZS,AEterna Zentaris Inc.,2.38,39129008.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs,
AEMD,"Aethlon Medical, Inc.",1.19,21249286.17,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd,
GNMX,"Aevi Genomic Medicine, Inc.",1.18,76424920.76,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx,
AFMD,Affimed N.V.,3.77,235353258.4,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd,
AGEN,Agenus Inc.,1.99,238766100.35,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen,
AGRX,"Agile Therapeutics, Inc.",0.92,31627142.68,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx,
AGYS,"Agilysys, Inc.",16.36,384923167.96,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys,
AGIO,"Agios Pharmaceuticals, Inc.",66.5,3868881954,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio,
AGMH,AGM Group Holdings Inc.,21.15,450834563.25,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh,
AGNC,AGNC Investment Corp.,17.88,8543636106.36,n/a,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc,
AGNCB,AGNC Investment Corp.,25.48,8827548114.84,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb,
AGNCN,AGNC Investment Corp.,25.5499,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn,
AGFS,"AgroFresh Solutions, Inc.",4.94,249169697.4,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs,
AGFSW,"AgroFresh Solutions, Inc.",0.1656,0,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw,
ALRN,"Aileron Therapeutics, Inc.",2.2,32446645,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn,
AIMT,"Aimmune Therapeutics, Inc.",28.36,1665602878.88,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt,
AIRT,"Air T, Inc.",37.03,75674767.21,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt,
ATSG,"Air Transport Services Group, Inc",18.91,1117210118.17,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg,
AIRG,"Airgain, Inc.",13.1,129882714.1,n/a,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg,
AMCN,AirMedia Group Inc,0.331,14953834.919,45177749,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn,
AKAM,"Akamai Technologies, Inc.",69.19,11268700338.94,n/a,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam,
AKTX,Akari Therapeutics Plc,1.82,27679246.14,15208377,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx,
AKCA,"Akcea Therapeutics, Inc.",26.15,2332865741.05,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca,
AKBA,"Akebia Therapeutics, Inc.",7.78,443919510.14,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba,
AKER,Akers Biosciences Inc.,2.46,28937686.02,n/a,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker,
AKRX,"Akorn, Inc.",6.8,853348136.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx,
AKTS,"Akoustis Technologies, Inc.",5.01,148418354.22,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts,
ALRM,"Alarm.com Holdings, Inc.",47.65,2287349287.45,n/a,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm,
ALSK,"Alaska Communications Systems Group, Inc.",1.5,79778217,n/a,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk,
ALACU,Alberton Acquisition Corporation,10.06,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu,
ALBO,"Albireo Pharma, Inc.",24.94,298530004.32,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo,
ABDC,Alcentra Capital Corp.,6.43,86996466.11,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc,
ALDR,"Alder BioPharmaceuticals, Inc.",13.18,900544759.34,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr,
ALDX,"Aldeyra Therapeutics, Inc.",10.09,211636942.8,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx,
ALXN,"Alexion Pharmaceuticals, Inc.",118.52,26441412824.64,n/a,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn,
ALCO,"Alico, Inc.",33.48,274534560.36,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco,
ALGN,"Align Technology, Inc.",219.32,17542174440.92,n/a,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn,
ALIM,"Alimera Sciences, Inc.",1.02,71480455.56,n/a,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim,
ALYA,Alithya Group inc.,3.8,183934633.8,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya,
ALJJ,"ALJ Regional Holdings, Inc.",1.61,61052996.76,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj,
ALKS,Alkermes plc,33.87,5262814995.69,n/a,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks,
ALLK,Allakos Inc.,56.97,2399180971.23,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk,
ABTX,"Allegiance Bancshares, Inc.",38.68,517058381.2,n/a,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,
ALGT,Allegiant Travel Company,121.87,1969396775.92,n/a,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt,
ALGR,Allegro Merger Corp.,9.64,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr,
ALGRR,Allegro Merger Corp.,0.38,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr,
ALGRU,Allegro Merger Corp.,10.3,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru,
ALGRW,Allegro Merger Corp.,0.35,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw,
ALNA,"Allena Pharmaceuticals, Inc.",8.36,173564041.64,n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,
AMMA,"Alliance MMA, Inc.",0.2861,4252296.8614,n/a,2016,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/amma,
ARLP,"Alliance Resource Partners, L.P.",19.6,2551524452.4,n/a,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp,
AHPI,"Allied Healthcare Products, Inc.",2,8027074,n/a,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi,
AMOT,"Allied Motion Technologies, Inc.",46.11,436955974.02,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot,
ALQA,"Alliqua BioMedical, Inc.",1.71,8558909.1,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/alqa,
ALLO,"Allogene Therapeutics, Inc.",27.7,0,n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo,
ALLT,Allot Communications Ltd.,7.175,241900317.75,n/a,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt,
MDRX,"Allscripts Healthcare Solutions, Inc.",9.9,1729670649.3,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx,
ALNY,"Alnylam Pharmaceuticals, Inc.",67.31,6800353396.98,n/a,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny,
AOSL,Alpha and Omega Semiconductor Limited,10.3,245015740.8,n/a,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl,
GOOG,Alphabet Inc.,1036.05,720537547227.9,n/a,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog,
GOOGL,Alphabet Inc.,1047.97,728827501924.06,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,
SMCP,AlphaMark Actively Managed Small Cap ETF,23.52,23520000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp,
ATEC,"Alphatec Holdings, Inc.",2.86,123588053.16,n/a,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec,
ALPN,"Alpine Immune Sciences, Inc.",5.14,71192916.68,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn,
AMR,"Alta Mesa Resources, Inc.",2.82,1082825238.42,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr,
AMRWW,"Alta Mesa Resources, Inc.",0.34,0,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww,
AABA,Altaba Inc.,61.21,36884982630.51,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,
ALTR,Altair Engineering Inc.,32.63,2294815724.63,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr,
ALT,"Altimmune, Inc.",3.4,14009999.2,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt,
ASPS,Altisource Portfolio Solutions S.A.,22.97,390279548.86,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps,
AIMC,Altra Industrial Motion Corp.,33.12,2134275851.52,n/a,2006,n/a,n/a,https://www.nasdaq.com/symbol/aimc,
ALTM,Altus Midstream Company,9.1,100176722.1,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/altm,
ALTMW,Altus Midstream Company,1.07,0,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/altmw,
ALZH,"Alzheon, Inc.",n/a,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alzh,
AMAG,"AMAG Pharmaceuticals, Inc.",17.25,595740117.75,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag,
AMAL,Amalgamated Bank,22.42,712318913.28,n/a,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal,
AMRN,Amarin Corporation plc,15.38,4484230604.04,291562458,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn,
AMRK,"A-Mark Precious Metals, Inc.",12.61,88666584.5,n/a,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk,
AMZN,"Amazon.com, Inc.",1631.17,797590956934.76,n/a,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn,
AMBC,"Ambac Financial Group, Inc.",18.51,839174505.78,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc,
AMBCW,"Ambac Financial Group, Inc.",9.69,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw,
AMBA,"Ambarella, Inc.",34.71,1112684620.71,n/a,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba,
AMCX,AMC Networks Inc.,59.72,3375947592.56,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx,
DOX,Amdocs Limited,66.34,9383394960,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox,
AMED,Amedisys Inc,116.4,3711832923.6,n/a,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed,
UHAL,Amerco,342.66,6718804636.08,n/a,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal,
AMRH,"Ameri Holdings, Inc.",0.284,6496058.948,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh,
AMRHW,"Ameri Holdings, Inc.",0.03,0,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw,
ATAX,"America First Multifamily Investors, L.P.",5.77,349201905.97,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax,
AMOV,"America Movil, S.A.B. de C.V.",13.36,44116537026.8,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov,
AAL,"American Airlines Group, Inc.",37.78,17400767672.14,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal,
AETI,"American Electric Technologies, Inc.",0.5901,5261413.6239,n/a,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti,
AFIN,"American Finance Trust, Inc.",13.48,1430543998.16,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin,
AMNB,"American National Bankshares, Inc.",36.07,314329526.17,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb,
ANAT,American National Insurance Company,125.75,3380845211.75,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/anat,
AOBC,American Outdoor Brands Corporation,13.6,739691025.6,n/a,n/a,Capital Goods,Ordnance And Accessories,https://www.nasdaq.com/symbol/aobc,
APEI,"American Public Education, Inc.",32.84,539370432.44,n/a,2007,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/apei,
ARII,"American Railcar Industries, Inc.",69.85,1333008878.3,n/a,2006,Capital Goods,Railroads,https://www.nasdaq.com/symbol/arii,
AMRB,American River Bankshares,15.02,88089326.04,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amrb,
AMSWA,"American Software, Inc.",11.74,362840325.94,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/amswa,
AMSC,American Superconductor Corporation,9.72,207658595.16,n/a,1991,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/amsc,
AMWD,American Woodmark Corporation,62.01,1091019938.58,n/a,1986,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/amwd,
CRMT,"America&#39;s Car-Mart, Inc.",73.69,507230819.14,n/a,n/a,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/crmt,
ABCB,Ameris Bancorp,44.46,2112679712.52,n/a,1994,Finance,Major Banks,https://www.nasdaq.com/symbol/abcb,
AMSF,"AMERISAFE, Inc.",64.33,1239637813.4,n/a,2005,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/amsf,
ASRV,AmeriServ Financial Inc.,4.24,76426390.08,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrv,
ASRVP,AmeriServ Financial Inc.,27.7407,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/asrvp,
ATLO,Ames National Corporation,28.41,264523038.33,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/atlo,
AMGN,Amgen Inc.,191.55,122059346188.2,n/a,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/amgn,
FOLD,"Amicus Therapeutics, Inc.",10.78,2040544917.18,n/a,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/fold,
AMKR,"Amkor Technology, Inc.",6.54,1566545551.86,n/a,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/amkr,
AMPH,"Amphastar Pharmaceuticals, Inc.",21.21,977748485.07,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amph,
IBUY,Amplify Online Retail ETF,44.27,363014000,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ibuy,
ASYS,"Amtech Systems, Inc.",5,74938725,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asys,
AFSI,"AmTrust Financial Services, Inc.",14.16,2799449884.08,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afsi,
AMRS,"Amyris, Inc.",5.9,297264768.1,n/a,2010,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs,
ADI,"Analog Devices, Inc.",85.3,31703448099.8,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/adi,
ANAB,"AnaptysBio, Inc.",69.89,1869667786.42,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/anab,
AVXL,Anavex Life Sciences Corp.,2.44,110852384.2,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/avxl,
ANCB,Anchor Bancorp,26.1,64833183,n/a,2011,Finance,Banks,https://www.nasdaq.com/symbol/ancb,
ANGI,ANGI Homeservices Inc.,18.3,9059069258.1,n/a,n/a,Consumer Services,Advertising,https://www.nasdaq.com/symbol/angi,
